Column1;Column2
Produktname,Beschreibung,Preis,Lagerbestand;
Bio-Apfelsaft,Frisch gepresster Bio-Apfelsaft aus sonnengereiften Aepfeln. Ohne Zuckerzusatz und Konservierungsstoffe. Inhalt; 1 Liter,2.99,150
Bio-Apfelsaft,Frisch gepresster Bio-Apfelsaft aus sonnengereiften Aepfeln. Ohne Zuckerzusatz und Konservierungsstoffe. Inhalt; 1 Liter,2.99,100
Bio-Haferflocken,Gesunde Bio-Haferflocken, ideal fuer ein nahrhaftes Fruehstueck. Reich an Ballaststoffen und wichtigen Naehrstoffen. Packungsinhalt; 500 g,3.49,200
Bio-Haferflocken,Gesunde Bio-Haferflocken, ideal fuer ein nahrhaftes Fruehstueck. Reich an Ballaststoffen und wichtigen Naehrstoffen. Packungsinhalt; 500 g,3.49,150
Bio-Gemuesebox,Frische Bio-Gemuesebox mit einer Vielzahl von saisonalen Gemuesesorten. Ideal fuer gesunde Mahlzeiten und Kochabenteuer. Inklusive Karotten, Brokkoli, Paprika und mehr. Gewicht; 3 kg,9.99,75
Bio-Gemuesebox,Frische Bio-Gemuesebox mit einer Vielzahl von saisonalen Gemuesesorten. Ideal fuer gesunde Mahlzeiten und Kochabenteuer. Inklusive Karotten, Brokkoli, Paprika und mehr. Gewicht; 3 kg,9.99,60
Bio-Orangensaft,Kaltgepresster Bio-Orangensaft, 100% natuerlicher Genuss ohne Zusatzstoffe. Inhalt; 750 ml,4.29,120
Bio-Orangensaft,Kaltgepresster Bio-Orangensaft, 100% natuerlicher Genuss ohne Zusatzstoffe. Inhalt; 750 ml,4.29,90
Bio-Joghurt,Natuerlicher Bio-Joghurt mit lebenden Kulturen. Perfekt als Snack oder Zutat fuer Muesli und Fruechte. Becher; 500 g,2.79,180
Bio-Joghurt,Natuerlicher Bio-Joghurt mit lebenden Kulturen. Perfekt als Snack oder Zutat fuer Muesli und Fruechte. Becher; 500 g,2.79,150
Bio-Honig,Reiner Bio-Honig aus regionalen Blueten. aromatisch. Glas; 350 g,5.99,100
Bio-Honig,Reiner Bio-Honig aus regionalen Blueten. aromatisch. Glas; 350 g,5.99,80
Bio-Tomaten,Reife Bio-Tomaten, perfekt fuer Salate und Saucen. Gewicht; 1 kg,2.49,120
Bio-Tomaten,Reife Bio-Tomaten, perfekt fuer Salate und Saucen. Gewicht; 1 kg,2.49,100
Bio-Huehnereier,Frische Bio-Huehnereier von gluecklichen Huehnern. Packung mit 12 Eiern,3.99,200;
Bio-Huehnereier,Frische Bio-Huehnereier von gluecklichen Huehnern. Packung mit 12 Eiern,3.99,150;
Bio-Vollkornbrot,Leckeres Bio-Vollkornbrot, reich an Ballaststoffen und Geschmack. 500 g Laib,2.99,90;
Bio-Vollkornbrot,Leckeres Bio-Vollkornbrot, reich an Ballaststoffen und Geschmack. 500 g Laib,2.99,70;
Bio-Quinoa,Gesunde Bio-Quinoa, ideal als Beilage oder Hauptgericht. Packung; 250 g,4.79,80
Bio-Quinoa,Gesunde Bio-Quinoa, ideal als Beilage oder Hauptgericht. Packung; 250 g,4.79,60
